N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
1000	91.4	64.2	68.4	55.5	14.4	7.5	71.114356099666	79.6694214876033	204	1285	185	0.849378881987578	0.388888888888889	10000	75.4226221079691	61.2784503631961	9.86301369863014	MIX
1500	91.7	63.5	69.1	55.3	14.4	7.5	70.749764501417	79.1586998087954	205	1288	180	0.846273291925466	0.388888888888889	10000	75.0380154639175	61.4345659163987	9.86301369863014	MIX
500	90.5	66	66.8	56	13.4	7.6	70.6135554911965	78.4017278617711	190	1099	205	0.833850931677019	0.444444444444444	10000	76.332268370607	60.9250814332248	9.69904761904762	MIX
200	88.7	68.8	63	56.4	11.2	7.2	70.2653187883517	78.2178217821782	159	873	248	0.795031055900621	0.166666666666667	10000	77.4928253968254	59.5175879396985	8.76521739130435	MIX
2000	92.1	63.4	69.7	55.4	15.1	7.7	71.2231782551983	79.2485475051265	215	1333	175	0.854037267080745	0.388888888888889	10000	75.1014790996784	61.7326938449241	10.1991228070175	MIX
1500	92.2	64.5	70	56.2	15.7	8.4	72.3133510392681	79.8260869565217	223	1245	177	0.864906832298137	0.444444444444444	10000	75.9017230376516	62.3454833597464	10.944398340249	MIX
1000	91.8	65.9	69.1	57.2	15.1	8.4	72.3763252933109	80.110497237569	214	1133	184	0.84472049689441	0.444444444444444	10000	76.7231452124287	62.5893903404592	10.7948936170213	MIX
5000	92.3	62.9	70.2	55.3	15.2	7.5	71.2752605001203	79.3248945147679	216	1405	168	0.850931677018634	0.222222222222222	10000	74.8153350515464	61.8654980079681	10.0440528634361	MIX
500	91	67.1	66.7	57.3	13	7.6	71.5575996229861	79.0508726137469	186	1043	210	0.824534161490683	0.555555555555556	10000	77.2435167615433	61.6437096774194	9.59223300970874	MIX
200	88.3	67.7	60.9	55.9	11.2	6.8	69.7363816136234	76.8715083798883	159	989	245	0.756211180124224	0.555555555555556	10000	76.6398717948718	58.2929794520548	8.46222222222222	MIX
800	91.3	66.3	68.1	56.9	14.2	8	71.9776777065167	79.3248945147679	201	1119	198	0.843167701863354	0.444444444444444	10000	76.8171319796954	61.99824	10.2342342342342	MIX
3000	92.2	63.6	70.4	55.9	16	8.3	71.4122921998523	79.3844979277249	227	1296	173	0.852484472049689	0.277777777777778	10000	75.2749679075738	62.3176563737134	10.9300411522634	MIX
4000	92.1	63.2	70	55.7	15.6	7.9	71.4181755566877	80.2450486194673	222	1355	177	0.857142857142857	0.277777777777778	10000	74.9609787508049	62.0365950676213	10.4885106382979	MIX
4000	92.3	63	70	55.3	15.8	7.9	70.9183658426007	79.1891891891892	225	1370	174	0.846273291925466	0.277777777777778	10000	74.8860270444301	61.7877094972067	10.5333333333333	MIX
