N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
2000	89.5	73.1	70.8	64.7	18.6	13.4	76.2636723190537	85.5051024783466	264	652	223	0.854037267080745	0.388888888888889	1000	80.4729397293973	67.6126937269373	15.5775	BUSCO
5000	90.2	73.2	72.5	64.9	19.6	13.8	76.7671000141238	86.5944658815429	278	671	201	0.877329192546584	0.388888888888889	1000	80.8156670746634	68.4898107714702	16.1964071856287	BUSCO
4000	90.2	73.2	72.1	64.8	19.3	13.8	76.5248444941413	86.3971574148565	274	656	209	0.864906832298137	0.444444444444444	1000	80.8156670746634	68.2553688823959	16.0930513595166	BUSCO
8000	90.3	73.6	72.8	65.3	19.9	14.2	76.7405958236107	86.6287339971551	282	655	204	0.864906832298137	0.5	1000	81.099206833435	68.8463432295438	16.5736070381232	BUSCO
500	87.8	73.5	66	62.6	13.9	10	74.6291732572218	83.4625322997416	198	662	240	0.81055900621118	0.444444444444444	1000	80.016119032858	64.2550544323484	11.6317991631799	BUSCO
1500	88.9	73.4	70	64.4	17.5	12.8	75.6798004604874	84.6938775510204	250	636	234	0.847826086956522	0.333333333333333	1000	80.4098582871226	67.0833333333333	14.7854785478548	BUSCO
200	83.4	77.2	60.2	62.1	12.5	10.3	71.6557981702971	79.1519434628975	178	473	300	0.773291925465838	0.166666666666667	1000	80.1803237858032	61.135241210139	11.2938596491228	BUSCO
3000	90.1	73.6	72.1	64.9	18.9	13.6	76.8888339628488	86.5944658815429	269	640	206	0.869565217391304	0.444444444444444	1000	81.0184483811851	68.310802919708	15.8178461538462	BUSCO
6000	90.1	73.4	72.4	65	19	13.6	76.7884239166442	86.5189902948862	270	651	205	0.875776397515528	0.388888888888889	1000	80.897125382263	68.5007278020378	15.8527607361963	BUSCO
1500	89.3	75.4	71.7	65.6	18	13.5	76.7412502612495	86.101083032491	255	579	227	0.877329192546584	0.388888888888889	1000	81.7634486945962	68.514493809177	15.4285714285714	BUSCO
1000	88.1	76.1	71.1	65.7	17.3	13.2	75.8976502389448	85.9360804037576	246	566	238	0.864906832298137	0.444444444444444	1000	81.6615103532278	68.2934210526316	14.9744262295082	BUSCO
800	87.5	76	70	64.9	16.4	12.6	75.6297431852371	85.15625	233	553	244	0.87111801242236	0.277777777777778	1000	81.3455657492355	67.353595255745	14.2510344827586	BUSCO
5000	90	74.3	72.7	66	19.7	14.3	76.7267676305385	86.2366847478282	280	629	207	0.868012422360248	0.5	1000	81.3998782714547	69.1881759192502	16.5711764705882	BUSCO
200	82.9	76.4	61.8	61.6	13.6	11.1	72.8406776931246	80.46875	193	486	289	0.78416149068323	0.444444444444444	1000	79.5173885750157	61.6998379254457	12.2234817813765	BUSCO
3000	90	74.1	71.9	65.2	18.5	13.4	76.8381277788251	86.1261261261261	262	633	211	0.874223602484472	0.277777777777778	1000	81.2797074954296	68.3862873814734	15.5423197492163	BUSCO
6000	90.1	73.8	72.5	65.5	19.5	13.9	76.6251514908139	86.446953206729	277	644	201	0.872670807453416	0.444444444444444	1000	81.1394752898109	68.8224637681159	16.2305389221557	BUSCO
8000	90.3	73.6	72.8	65.3	19.9	14.2	76.7405958236107	86.6287339971551	282	655	204	0.864906832298137	0.5	1000	81.099206833435	68.8463432295438	16.5736070381232	BUSCO
500	87.5	76	69	65.2	17	12.8	76.077335371801	85.1741109429297	242	581	231	0.852484472049689	0.333333333333333	1000	81.3455657492355	67.0461997019374	14.6040268456376	BUSCO
4000	90.1	73.8	72.4	65.2	19.5	14	76.9567111580402	86.3886907945564	277	652	204	0.869565217391304	0.444444444444444	1000	81.1394752898109	68.6116279069767	16.2985074626866	BUSCO
2000	90.1	74.3	71.7	65	18.8	13.8	76.956815418363	86.4079476672055	267	614	214	0.877329192546584	0.444444444444444	1000	81.4407542579075	68.1858083394294	15.9165644171779	BUSCO
7000	90.2	73.7	72.7	65.5	19.6	14.1	76.8699506005952	86.456509048453	279	642	200	0.87888198757764	0.444444444444444	1000	81.1194630872483	68.9124457308249	16.4011869436202	BUSCO
500	90.4	60	64.2	51.3	11.8	5.6	68.6165351702898	74.7826086956522	167	1548	193	0.801242236024845	0.555555555555556	10000	72.1276595744681	57.0296103896104	7.59540229885058	BUSCO
5000	90.4	51.2	66	44	11.9	4.7	63.2383530758541	67.7869655195134	169	2093	178	0.83695652173913	0.444444444444444	10000	65.374011299435	52.8	6.73855421686747	BUSCO
6000	90.6	51	66.1	43.8	12.4	4.8	63.4988875143843	68.3102247546692	176	2147	175	0.835403726708075	0.5	10000	65.2627118644068	52.687534121929	6.92093023255814	BUSCO
1000	91.9	56.4	66	48.9	12.3	5.4	67.0765593144721	73.0803814260182	175	1764	184	0.826086956521739	0.333333333333333	10000	69.9010114632502	56.177545691906	7.50508474576271	BUSCO
2000	91.9	53.3	66.1	46.2	12.3	4.9	65.7316653238949	71.371401721677	175	2013	163	0.830745341614907	0.333333333333333	10000	67.4692837465565	54.386821015138	7.00813953488372	BUSCO
3000	91.6	52.3	66.1	45.2	12.7	5	64.8241864781718	70.2174940898345	180	2047	167	0.830745341614907	0.277777777777778	10000	66.5834607366227	53.6876909254268	7.17514124293785	BUSCO
8000	90.9	51.2	66.3	44	11.8	4.5	63.4355515431534	68.2089845143795	167	2137	181	0.835403726708075	0.444444444444444	10000	65.5042927515834	52.8957388939257	6.51533742331288	BUSCO
7000	90.6	50.8	66.3	43.8	12	4.6	63.3767980302071	67.6616915422886	170	2162	176	0.833850931677019	0.444444444444444	10000	65.0987270155587	52.7509536784741	6.65060240963855	BUSCO
1500	92.1	53.9	65.8	46.6	12.3	5	66.2635661182535	71.6731443420213	175	1962	162	0.821428571428571	0.333333333333333	10000	68.002602739726	54.5601423487544	7.10982658959538	BUSCO
800	91.9	58.1	66.1	50.1	12.3	5.5	68.6229720659199	74.6495643906925	175	1704	180	0.822981366459627	0.388888888888889	10000	71.1918666666667	56.9984509466437	7.60112359550562	BUSCO
4000	91.3	51.8	66.3	44.6	12.3	4.8	64.1063086053202	68.9156626506024	174	2057	174	0.841614906832298	0.388888888888889	10000	66.098392732355	53.32696122633	6.90526315789474	BUSCO
