N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
5000	91.7	66.4	70.2	58.1	18	9.5	72.6997342713181	82.9658283515871	256	1207	154	0.81832298136646	0.388888888888889	5000	77.0256799493991	63.5794232268122	12.4363636363636	ONT
500	89.7	67.4	65.4	56.6	15.4	8.7	71.8280398905062	80.9439002671416	218	1096	198	0.770186335403727	0.5	5000	76.9672819859962	60.6826229508197	11.1186721991701	ONT
3000	91.4	66.7	69.9	58.2	16.9	9.1	72.7116973333441	82.4719101123596	240	1182	161	0.816770186335404	0.333333333333333	5000	77.1205566097407	63.5156908665105	11.83	ONT
2000	91	67	68.9	58	16.8	9.2	72.6531790562812	82.6298701298701	238	1140	164	0.815217391304348	0.388888888888889	5000	77.1772151898734	62.9818754925138	11.8892307692308	ONT
200	85.9	70.4	58.7	56.3	12	7.8	69.8823629008562	76.9628099173554	171	824	230	0.697204968944099	0.333333333333333	5000	77.3814459373001	57.4749565217391	9.45454545454545	ONT
4000	91.4	66.3	69.7	58	18	9.5	72.7128157469307	82.5929283771532	256	1217	155	0.812111801242236	0.388888888888889	5000	76.8525047558656	63.3140172278778	12.4363636363636	ONT
1000	90.9	67	67.9	57.4	15.8	8.6	71.8247597040626	80.6866952789699	224	1135	180	0.801242236024845	0.333333333333333	5000	77.1412286257125	62.2100558659218	11.1377049180328	ONT
800	90.7	67.1	67.2	57.3	15.8	8.7	71.9774082257361	80.9835625268586	225	1153	190	0.801242236024845	0.444444444444444	5000	77.1352344740177	61.8563855421687	11.2212244897959	ONT
1500	91	66.8	68.6	57.4	16.5	9	72.3668152507479	82.0224719101124	235	1152	171	0.807453416149068	0.333333333333333	5000	77.0443599493029	62.5022222222222	11.6470588235294	ONT
800	90.5	67.4	66.8	57.6	16.4	9.2	71.6092918722534	80.8763998554988	233	1088	183	0.793478260869565	0.444444444444444	5000	77.2602913236226	61.859807073955	11.7875	ONT
2000	91.4	66.9	69.5	58	18	9.7	72.7607701412681	82.0018365472911	255	1169	168	0.81832298136646	0.277777777777778	5000	77.2540745420089	63.2313725490196	12.6064981949458	ONT
