N_genes	nt_sn	nt_sp	exon_sn	exon_sp	gene_sn	gene_sp	mean_identity	median_identity	PH	FP	FN	SC	DU	fr	nt_fscore	exon_fscore	gene_fscore	tec
3000	93.2	61.9	70.2	54.6	15.6	7.7	70.9144617996769	78.8335129668809	222	1437	178	0.832298136645963	0.333333333333333	10000	74.3917472598324	61.425	10.3107296137339	PacBio
1000	92.7	63.8	68.8	55.7	15	7.7	71.5006258606865	79.4758949389659	214	1319	177	0.84472049689441	0.444444444444444	10000	75.5815974440895	61.5608032128514	10.1762114537445	PacBio
500	91.6	63.1	65.8	54.1	12.7	6.6	69.6791864707803	76.6865680858708	182	1299	201	0.829192546583851	0.444444444444444	10000	74.7247575953458	59.3791492910759	8.6860103626943	PacBio
5000	93.3	61.1	70.3	54.2	15.4	7.4	71.0319218421846	79.2347126067844	219	1498	169	0.854037267080745	0.277777777777778	10000	73.8423575129534	61.2089959839357	9.99649122807017	PacBio
2000	93	62.3	69.6	54.9	15.5	7.7	70.9525128409626	78.7931034482759	220	1398	176	0.830745341614907	0.444444444444444	10000	74.6155827430779	61.3821686746988	10.2887931034483	PacBio
6000	93.3	61.2	70.2	54.2	15.4	7.4	71.1509003828045	79.4565217391304	219	1507	162	0.860248447204969	0.277777777777778	10000	73.9153398058252	61.1710610932476	9.99649122807017	PacBio
800	91.8	65	68.7	56.5	13.3	7.2	72.197015549362	80.5940594059406	189	1218	202	0.843167701863354	0.444444444444444	10000	76.109693877551	62.0055910543131	9.34243902439025	PacBio
500	91.4	64.9	67.4	55.5	12	6.7	71.3406146089659	79.7145115084461	171	1179	210	0.840062111801242	0.5	10000	75.9035188739603	60.8738812042311	8.59893048128342	PacBio
4000	93.3	61.2	70.3	54.2	16	7.6	70.9008157733608	78.9406943105111	227	1505	170	0.850931677018634	0.388888888888889	10000	73.9153398058252	61.2089959839357	10.3050847457627	PacBio
1500	92.8	61.9	69.2	54.5	15	7.4	70.9623505248821	79.3248945147679	213	1442	178	0.855590062111801	0.388888888888889	10000	74.2639948287007	60.9765561843169	9.91071428571429	PacBio
7000	93.2	61.2	70.4	54.4	15.7	7.6	71.0380278507886	79.2703150912106	223	1487	169	0.860248447204969	0.277777777777778	10000	73.8839378238342	61.374358974359	10.2420600858369	PacBio
2000	93	61	69.6	53.8	15.1	7.2	70.421644998882	78.1967213114754	215	1510	173	0.849378881987578	0.444444444444444	10000	73.6753246753247	60.6884927066451	9.75067264573991	PacBio
3000	93.2	61.3	70.1	54.3	15.7	7.5	71.0273659199178	78.8715886194542	223	1510	172	0.854037267080745	0.333333333333333	10000	73.9567637540453	61.1966237942122	10.1508620689655	PacBio
1000	92.4	63.7	69.2	55.8	13.9	7.3	72.0739737721374	80.3456729812372	198	1286	191	0.841614906832298	0.444444444444444	10000	75.4116591928251	61.78176	9.57264150943396	PacBio
200	88.5	67.4	60	55	10.7	6.5	69.3019021929395	75.898864575066	152	987	243	0.760869565217391	0.444444444444444	10000	76.5221295702373	57.3913043478261	8.08720930232558	PacBio
5000	93.4	61.3	70.4	54.3	15.6	7.5	71.118145686647	79.4565217391304	221	1500	166	0.857142857142857	0.333333333333333	10000	74.019650937298	61.3106655974338	10.1298701298701	PacBio
200	88	71.9	62.7	59.4	12.1	8.1	70.4961401202163	79.0339994408938	172	765	238	0.779503105590062	0.333333333333333	2500	79.1394621638524	61.0054054054054	9.7039603960396	PacBio
3000	93.2	69.1	72.2	61.1	18.2	10.7	74.5108040183553	84.2424242424242	259	993	179	0.869565217391304	0.388888888888889	2500	79.3606900800986	66.1878469617404	13.4768166089965	PacBio
1000	92.3	70.4	70.7	61.3	16.9	10.5	74.7958265085056	84.3835616438356	240	896	191	0.869565217391304	0.277777777777778	2500	79.8760909649662	65.665303030303	12.9525547445255	PacBio
2000	92.8	68.8	71.1	60.3	17.5	10.3	74.0224744187073	83.4895702843025	248	986	181	0.863354037267081	0.333333333333333	2500	79.0178217821782	65.2561643835616	12.9676258992806	PacBio
5000	93	69.6	72.4	61.6	18.5	11.1	74.942470236047	84.3434343434343	263	958	180	0.875776397515528	0.388888888888889	2500	79.6162361623616	66.564776119403	13.875	PacBio
