g14704	fusion
g8556	fusion
g750	fusion
g10553	fusion
g3055	fusion
g7353	fusion
g6668	fusion
g1381	fusion
g18258	fusion
g9010	fusion
g9241	fusion
g5389	fusion
g8288	fusion
g10912	fusion
g8731	fusion
g17503	fusion
g15270	fusion
g3127	fusion
g18102	fusion
g3330	fusion
g15311	fusion
g2336	fusion
g13404	fusion
g13277	fusion
g20431	fusion
g18133	fusion
g14541	fusion
g19587	fusion
g10083	fusion
g6850	fusion
g15970	fusion
g8897	fusion
g11342	fusion
g3754	fusion
g5074	fusion
g9662	fusion
g1777	fusion
g2731	fusion
g15811	fusion
g17627	fusion
g1272	fusion
g2579	fusion
g1666	fusion
g20742	fusion
g19480	fusion
g20871	fusion
g20671	fusion
g7907	fusion
g16018	fusion
g11913	fusion
g39	fusion
g14995	fusion
g9553	fusion
g17219	fusion
g1931	fusion
g20859	fusion
g20010	fusion
g17066	fusion
g18201	fusion
g2375	fusion
g1514	fusion
g3669	fusion
g6359	fusion
g18279	fusion
g1506	fusion
g1373	fusion
g5073	fusion
g2312	fusion
g9460	fusion
g3054	fusion
g9196	fusion
g7787	fusion
g19140	fusion
g19747	fusion
g5898	fusion
g4275	fusion
g11186	fusion
g1617	fusion
g13146	fusion
g18897	fusion
g16025	fusion
g1035	fusion
g2745	fusion
g171	fusion
g10247	fusion
g15491	fusion
g11419	fusion
g9336	fusion
g4294	fusion
g11566	fusion
g18456	fusion
g20995	fusion
g13484	fusion
g14355	fusion
g28	fusion
g11439	fusion
g16010	fusion
g6399	fusion
g16701	fusion
g8167	fusion
g2397	fusion
g20593	fusion
g5894	fusion
g7158	fusion
g14769	fusion
g15669	fusion
g16299	fusion
g2377	fusion
g2656	fusion
g14117	fusion
g18202	fusion
g1883	fusion
g331	fusion
g11773	fusion
g18025	fusion
g11325	fusion
g6097	fusion
g11916	fusion
g4702	fusion
g2311	fusion
g3519	fusion
g15322	fusion
g12778	fusion
g19872	fusion
g11771	fusion
g9088	fusion
g3146	fusion
g8339	fusion
g15822	fusion
g14251	fusion
g15933	fusion
g15244	fusion
g9879	fusion
g16161	fusion
g12328	fusion
g14478	fusion
g17327	fusion
